bioID,firstseason,height,weight,playerID_x,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,playerID_y,num_prizes,age
catchta01w,0,73.0,167.0,catchta01w,7,0,IND,WNBA,32,32,1071,521,68,172,240,119,94,35,79,90,398,162,204,165,107,32,0,2,2,62,28,2,10,12,7,2,1,6,8,31,10,6,4,8,4,0,catchta01w,3,28
catchta01w,0,73.0,167.0,catchta01w,7,0,IND,WNBA,32,32,1071,521,68,172,240,119,94,35,79,90,398,162,204,165,107,32,0,2,2,62,28,2,10,12,7,2,1,6,8,31,10,6,4,8,4,0,catchta01w,4,28
catchta01w,0,73.0,167.0,catchta01w,10,0,IND,WNBA,34,34,1084,512,86,159,245,107,99,18,88,92,407,157,181,158,122,40,0,10,10,357,172,24,80,104,54,33,14,34,34,122,56,60,51,36,9,1,catchta01w,5,31
coopecy01w,0,70.0,150.0,coopecy01w,1,0,HOU,WNBA,31,31,1085,550,17,68,85,156,39,6,99,61,392,180,168,147,121,43,0,6,6,228,136,5,10,15,22,9,1,18,11,119,45,39,35,32,11,0,coopecy01w,1,38
douglka01w,0,72.0,167.0,douglka01w,7,0,CON,WNBA,32,32,1003,525,38,83,121,79,62,4,73,48,404,179,112,94,173,73,0,4,4,125,48,6,9,15,10,4,1,11,1,45,18,5,4,27,8,0,douglka01w,1,28
edwarte01w,0,71.0,155.0,edwarte01w,5,0,MIN,WNBA,34,34,697,194,29,61,90,79,47,8,93,37,200,74,30,21,85,25,0,2,2,43,6,1,4,5,2,3,1,4,5,6,1,4,3,5,1,0,edwarte01w,1,41
fordch01w,0,75.0,198.0,fordch01w,4,0,DET,WNBA,32,32,956,344,99,235,334,27,32,31,79,109,270,128,129,88,0,0,1,8,8,232,67,25,55,80,4,11,6,10,30,74,24,23,19,0,0,0,fordch01w,1,23
fordch01w,0,75.0,198.0,fordch01w,8,0,DET,WNBA,15,15,460,195,48,120,168,22,28,11,42,54,143,71,83,53,0,0,0,10,8,228,69,33,59,92,4,5,3,14,32,65,27,33,15,1,0,0,fordch01w,2,27
gilloje01w,0,75.0,180.0,gilloje01w,3,0,PHO,WNBA,31,31,874,473,36,80,116,37,29,21,61,90,400,166,131,105,93,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gilloje01w,1,39
griffyo01w,0,75.0,188.0,griffyo01w,6,0,SAC,WNBA,34,33,962,469,87,136,223,52,42,31,68,98,357,173,174,123,0,0,0,8,8,246,138,27,39,66,11,10,4,10,20,108,53,45,32,0,0,0,griffyo01w,1,36
griffyo01w,0,75.0,188.0,griffyo01w,7,0,SAC,WNBA,34,34,854,407,87,132,219,56,44,16,66,74,293,134,185,139,1,0,0,9,9,237,133,28,36,64,16,10,5,10,23,97,47,51,39,0,0,0,griffyo01w,2,37
hoffmeb01w,0,74.0,215.0,hoffmeb01w,9,0,IND,WNBA,33,33,1013,342,94,164,258,61,47,26,79,121,303,141,41,34,57,26,3,3,3,102,34,4,21,25,5,6,2,3,11,33,14,3,2,11,4,0,hoffmeb01w,1,27
holdsch01w,0,74.0,172.0,holdsch01w,7,0,LAS,WNBA,25,0,739,375,57,95,152,56,34,9,57,58,315,148,86,76,15,3,0,3,1,45,13,4,7,11,4,1,2,3,3,18,6,0,0,2,1,0,holdsch01w,1,30
jacksla01w,0,77.0,187.0,jacksla01w,4,0,SEA,WNBA,33,33,1109,698,82,225,307,62,38,64,69,106,526,254,183,151,123,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jacksla01w,1,23
jacksla01w,0,77.0,187.0,jacksla01w,7,0,SEA,WNBA,30,30,848,585,70,160,230,48,24,51,40,90,361,193,189,170,77,29,1,3,3,91,54,4,20,24,2,2,7,5,8,28,15,24,22,7,2,0,jacksla01w,2,26
jacksla01w,0,77.0,187.0,jacksla01w,8,0,SEA,WNBA,31,31,1020,739,80,220,300,40,31,63,56,93,497,258,197,174,122,49,1,2,2,68,38,4,19,23,1,2,3,5,9,23,13,9,9,10,3,0,jacksla01w,3,27
jacksla01w,0,77.0,187.0,jacksla01w,8,0,SEA,WNBA,31,31,1020,739,80,220,300,40,31,63,56,93,497,258,197,174,122,49,1,2,2,68,38,4,19,23,1,2,3,5,9,23,13,9,9,10,3,0,jacksla01w,4,27
johnste01w,0,63.0,132.0,johnste01w,6,0,WAS,WNBA,34,34,973,315,13,91,104,177,44,1,88,99,273,125,66,52,43,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,johnste01w,1,24
johnsvi01w,0,69.0,150.0,johnsvi01w,9,0,SAS,WNBA,32,32,892,213,39,130,169,115,26,5,49,42,198,87,36,28,39,11,0,9,9,274,75,10,32,42,28,9,0,19,13,65,32,11,7,10,4,0,johnsvi01w,1,37
langhcr01w,0,74.0,184.0,langhcr01w,10,0,WAS,WNBA,34,22,1013,408,101,167,268,29,34,13,76,74,284,163,119,82,2,0,0,2,2,79,33,5,15,20,1,1,1,6,6,20,14,8,5,0,0,0,langhcr01w,1,24
lawsoka01w,0,69.0,165.0,lawsoka01w,10,0,SAC,WNBA,25,5,604,220,11,42,53,63,16,1,35,24,200,76,33,31,110,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lawsoka01w,1,29
lennobe01w,0,68.0,143.0,lennobe01w,1,0,MIN,WNBA,32,31,984,541,53,125,178,82,53,9,97,112,471,201,105,84,139,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lennobe01w,1,25
lennobe01w,0,68.0,143.0,lennobe01w,5,0,SEA,WNBA,32,32,920,358,28,131,159,79,34,3,77,89,330,139,68,58,83,22,0,8,8,251,117,4,25,29,21,8,1,23,21,97,44,24,21,18,8,0,lennobe01w,2,29
